q;1551030545021;-0.06098373,0.0014496294,-0.0027285642,0.998134
v;1551030545021;-0.12203463,0.0032508268,-0.0056659207
m;1551030545028;md=0
bq;1551030545043;-0.06098373,0.0014496294,-0.0027285642,0.998134
r;1551030545045;90.0,90.0,90.0
m;1551030545046;st
q;1551030545240;-0.06285041,0.006568873,-0.0047753095,0.99798995
v;1551030545240;-0.1257163,0.013821109,-0.010439712
r;1551030545246;90.21681,89.40035,90.21681
q;1551030545290;-0.061681278,0.0055838586,-0.004208599,0.99807143
v;1551030545290;-0.12339052,0.011755004,-0.009159571
r;1551030545297;90.08186,89.5169,90.08186
q;1551030545332;-0.061431356,0.0047057453,-0.0037046159,0.99809337
v;1551030545332;-0.12290276,0.009923721,-0.008033951
r;1551030545346;90.052635,89.62084,90.052635
q;1551030545381;-0.061079778,0.0051804567,-0.0036286616,0.99811286
v;1551030545381;-0.1221953,0.010865871,-0.007935726
r;1551030545387;90.01244,89.567,90.01244
q;1551030545425;-0.061397623,0.0048164693,-0.0033428078,0.99809617
v;1551030545425;-0.122837946,0.010101365,-0.0073195454
r;1551030545432;90.04871,89.61072,90.04871
q;1551030545463;-0.061139613,0.004423245,-0.0025435167,0.9981162
v;1551030545463;-0.12233127,0.009209799,-0.005660654
r;1551030545469;90.01879,89.66123,90.01879
q;1551030545496;-0.060979147,0.004666151,-0.0026854635,0.99812454
v;1551030545496;-0.122006975,0.009714681,-0.0059743766
r;1551030545500;90.000465,89.6324,90.000465
q;1551030545526;-0.0622436,0.0045879697,-0.002967769,0.99804604
v;1551030545526;-0.12453841,0.009601972,-0.006545827
r;1551030545535;90.145676,89.63975,90.145676
q;1551030545567;-0.061331883,0.0053033493,-0.0027100472,0.9980997
v;1551030545567;-0.122709654,0.011001915,-0.0061062765
r;1551030545571;90.04116,89.55946,90.04116
q;1551030545595;-0.060693517,0.0046511204,-0.002312591,0.99814296
v;1551030545595;-0.12143836,0.009636803,-0.005219642
r;1551030545599;89.96759,89.63662,89.96759
q;1551030545623;-0.060345616,0.0042982316,-0.0021014845,0.9981661
v;1551030545623;-0.12074501,0.00889924,-0.0047486117
r;1551030545627;89.92753,89.678314,89.92753
q;1551030545652;-0.060365327,0.004827108,-0.0016332407,0.99816334
v;1551030545652;-0.12078664,0.009906,-0.0038714786
r;1551030545656;89.92981,89.62106,89.92981
q;1551030545682;-0.06112494,0.0043294257,-0.0010962364,0.9981201
v;1551030545682;-0.12231534,0.008842769,-0.0027380832
r;1551030545694;90.016846,89.6821,90.016846
q;1551030545742;-0.06043477,0.0037862717,-6.678318E-4,0.9981648
v;1551030545742;-0.12093725,0.00769565,-0.0018040347
r;1551030545749;89.937515,89.74684,89.937515
q;1551030545787;-0.061271492,0.0032015413,-6.186948E-4,0.99811584
v;1551030545787;-0.12261514,0.0065157996,-0.0016396958
r;1551030545793;90.03353,89.81453,90.03353
q;1551030545822;-0.062169757,0.005349023,-0.001183497,0.9980506
v;1551030545822;-0.124405116,0.010908868,-0.0030510589
r;1551030545827;90.13694,89.56539,90.13694
q;1551030545852;-0.0608624,0.0058652963,-0.0012151011,0.9981282
v;1551030545852;-0.12178352,0.011945298,-0.0031630376
r;1551030545856;89.986916,89.50546,89.986916
q;1551030545885;-0.060834397,0.0047166543,-6.6553656E-4,0.9981365
v;1551030545885;-0.12173625,0.009567657,-0.0019166482
r;1551030545889;89.98345,89.64066,89.98345
q;1551030545916;-0.06157336,0.0037386888,-3.8396026E-4,0.9980955
v;1551030545916;-0.12322091,0.0075678723,-0.0012362389
r;1551030545926;90.06821,89.75491,90.06821
q;1551030545977;-0.0613089,0.0038230962,-5.056352E-4,0.9981114
v;1551030545977;-0.12268995,0.007752101,-0.0014893361
r;1551030545984;90.03786,89.744255,90.03786
q;1551030546020;-0.062021498,0.003999814,-8.8085816E-4,0.9980664
v;1551030546020;-0.12411451,0.008156255,-0.0022719374
r;1551030546025;90.11972,89.72178,90.11972
q;1551030546057;-0.06192757,0.0042028455,-0.0014607739,0.9980708
v;1551030546057;-0.12392083,0.008636734,-0.0034630175
r;1551030546062;90.10903,89.6944,90.10903
q;1551030546087;-0.061723705,0.0046455245,-0.0019233229,0.9980806
v;1551030546087;-0.12350635,0.009583793,-0.0044466257
r;1551030546091;90.085785,89.640396,90.085785
q;1551030546115;-0.061771188,0.0042708996,-0.0017872119,0.9980796
v;1551030546115;-0.123604365,0.008813546,-0.004126692
r;1551030546120;90.09113,89.68423,90.09113
q;1551030546145;-0.06240006,0.0044593047,-0.0018825644,0.9980395
v;1551030546145;-0.124862865,0.009207885,-0.0043481337
r;1551030546155;90.16339,89.66227,90.16339
q;1551030546202;-0.061969813,0.0036531466,-0.002134939,0.9980691
v;1551030546202;-0.12400225,0.007615335,-0.0047508995
r;1551030546209;90.113846,89.752495,90.113846
q;1551030546238;-0.06292797,0.004960932,-0.0028195318,0.99800175
v;1551030546238;-0.1259089,0.010338918,-0.0063020876
r;1551030546242;90.224335,89.598366,90.224335
q;1551030546267;-0.06271027,0.0037296396,-0.0028565146,0.9980207
v;1551030546267;-0.12548003,0.007864696,-0.006218426
r;1551030546271;90.19896,89.738846,90.19896
q;1551030546296;-0.061578486,0.0037702413,-0.002984479,0.9980907
v;1551030546296;-0.12321084,0.007954027,-0.006470993
r;1551030546300;90.069046,89.732956,90.069046
q;1551030546324;-0.062113054,0.003759519,-0.0029169887,0.9980578
v;1551030546324;-0.124282606,0.007928033,-0.00633861
r;1551030546328;90.13041,89.73482,90.13041
q;1551030546354;-0.062016316,0.0034052953,-0.003022434,0.99806476
v;1551030546354;-0.12409024,0.0072279316,-0.0065056067
r;1551030546358;90.119194,89.77455,90.119194
q;1551030546382;-0.06188948,0.0023652527,-0.0032037843,0.99807507
v;1551030546382;-0.12384185,0.0051574823,-0.00673967
r;1551030546386;90.10426,89.89218,90.10426
q;1551030546411;-0.061548725,0.002451789,-0.0033255655,0.9980955
v;1551030546411;-0.123157814,0.0053441124,-0.0069933
r;1551030546415;90.06517,89.88134,90.06517
q;1551030546438;-0.062246587,0.0028973967,-0.0036248863,0.99805003
v;1551030546438;-0.1245512,0.0062834835,-0.0076557207
r;1551030546442;90.14547,89.82841,90.14547
q;1551030546467;-0.06202082,0.0030680427,-0.0037069179,0.99806327
v;1551030546467;-0.12409693,0.006635086,-0.007840415
r;1551030546471;90.11963,89.80826,90.11963
q;1551030546496;-0.062048458,0.0027057366,-0.0038656148,0.99806195
v;1551030546496;-0.1241542,0.005926347,-0.008114567
r;1551030546500;90.12265,89.84857,90.12265
q;1551030546526;-0.062295746,0.0023363552,-0.003824888,0.9980477
v;1551030546526;-0.124652945,0.0051803538,-0.007987995
r;1551030546536;90.15088,89.89116,90.15088
q;1551030546581;-0.06279849,0.0029823452,-0.0045505576,0.9980114
v;1551030546581;-0.12565045,0.0065762573,-0.0095328875
r;1551030546585;90.20892,89.81215,90.20892
q;1551030546611;-0.06267908,0.0027804137,-0.004959887,0.99801755
v;1551030546611;-0.12541054,0.006220458,-0.010329965
r;1551030546620;90.19513,89.83229,90.19513
q;1551030546663;-0.06268565,0.0029239643,-0.0050125928,0.9980165
v;1551030546663;-0.1254219,0.0065159933,-0.010454189
r;1551030546668;90.19597,89.81549,90.19597
q;1551030546692;-0.06342982,0.0026277287,-0.005317604,0.9979687
v;1551030546692;-0.12691443,0.005967401,-0.01103594
r;1551030546696;90.28125,89.84719,90.28125
q;1551030546726;-0.062861994,0.0024238129,-0.00519387,0.99800575
v;1551030546726;-0.12577948,0.005534704,-0.01075694
r;1551030546731;90.21593,89.87139,90.21593
q;1551030546758;-0.06288474,0.0021801554,-0.005148616,0.99800515
v;1551030546758;-0.12582791,0.00503901,-0.010635167
r;1551030546767;90.2184,89.89959,90.2184
q;1551030546817;-0.06331998,0.0027946082,-0.005782579,0.9979726
v;1551030546817;-0.12668951,0.006361214,-0.011992013
r;1551030546824;90.268776,89.82473,90.268776
q;1551030546859;-0.06328005,0.0019380635,-0.005962491,0.9979761
v;1551030546859;-0.12661892,0.00466022,-0.012244455
r;1551030546863;90.26362,89.92139,90.26362
q;1551030546888;-0.063498504,0.0028770037,-0.006350485,0.9979576
v;1551030546888;-0.12704255,0.006602002,-0.013146726
r;1551030546892;90.289375,89.811165,90.289375
q;1551030546917;-0.06363547,0.0027846375,-0.0061888774,0.99795014
v;1551030546917;-0.12731928,0.0063973474,-0.012810826
r;1551030546921;90.30502,89.8229,90.30502
