q;1552835005107;-0.048859883,0.016886529,-0.043676827,0.99770737
v;1552835005107;-0.0961688,0.0381492,-0.08933454
m;1552835005109;md=0
bq;1552835005110;-0.048859883,0.016886529,-0.043676827,0.99770737
r;1552835005111;90.0,90.0,90.0
m;1552835005111;st
q;1552835005156;-0.026188245,0.01386352,-0.035755586,0.99892116
v;1552835005156;-0.05135115,0.029613236,-0.07231841
r;1552835005158;87.40354,90.25748,90.94474
q;1552835005200;-0.0271563,0.004889591,-0.027292745,0.9992466
v;1552835005200;-0.054031063,0.01127084,-0.05491763
r;1552835005203;87.504005,91.316414,91.88506
r;1552835005210;alive 1
r;1552835005229;alive 1
r;1552835005240;updated
r;1552835005241;done
q;1552835005251;-0.024431307,0.009008685,-0.026190618,0.99931777
v;1552835005251;-0.048376255,0.019308608,-0.052872144
r;1552835005253;87.20818,90.829765,92.0314
m;1552835005254;st
r;1552835005273;done
q;1552835005295;-0.03142972,0.008908575,-0.024858497,0.9991571
v;1552835005295;-0.062404037,0.01940371,-0.050354324
r;1552835005297;88.01341,90.89517,92.16385
m;1552835005298;st
r;1552835005309;alive 1
r;1552835005323;done
q;1552835005341;-0.020558678,0.0043593184,-0.020387772,0.99957126
v;1552835005341;-0.040933404,0.009561344,-0.040983096
r;1552835005343;86.77006,91.34797,92.69614
m;1552835005344;st
r;1552835005357;done
q;1552835005382;-0.016578298,-0.001484295,-0.019193396,0.99967724
v;1552835005382;-0.033208977,-0.0023325323,-0.038355738
r;1552835005383;86.305084,91.98746,92.83503
m;1552835005384;st
r;1552835005409;done
q;1552835005425;-0.011075523,-0.005913339,-0.01767941,0.9997649
v;1552835005425;-0.022356791,-0.011435387,-0.035235614
r;1552835005427;85.67209,92.45218,93.02403
m;1552835005428;st
r;1552835005457;done
q;1552835005468;-0.014539773,-0.011787169,-0.019238064,0.99963975
v;1552835005468;-0.029526884,-0.023018474,-0.038145375
r;1552835005472;86.048065,93.14908,92.82143
m;1552835005473;st
r;1552835005491;done
q;1552835005512;-0.0063088015,-0.017896246,-0.018058684,0.99965686
v;1552835005512;-0.013260028,-0.035562977,-0.035890028
r;1552835005514;85.09944,93.78314,92.99306
m;1552835005515;st
r;1552835005526;done
q;1552835005553;-0.014713568,-0.02420791,-0.017868647,0.99943894
v;1552835005553;-0.030280378,-0.047903102,-0.035028093
r;1552835005555;86.048744,94.57258,92.95769
m;1552835005556;st
r;1552835005576;done
q;1552835005600;-0.009970218,-0.028099794,-0.014668281,0.99944776
v;1552835005600;-0.020755265,-0.055917233,-0.028770203
r;1552835005601;85.52112,94.98237,93.35004
m;1552835005602;st
r;1552835005626;done
q;1552835005640;-0.009543026,-0.0281938,-0.013560273,0.9994649
v;1552835005640;-0.019841772,-0.056139145,-0.026576284
r;1552835005646;85.48018,94.99046,93.47958
m;1552835005651;st
r;1552835005660;done
q;1552835005687;-0.013005873,-0.029097695,-0.015406208,0.9993732
v;1552835005687;-0.026895257,-0.057811268,-0.030051611
r;1552835005689;85.861046,95.12108,93.24359
m;1552835005690;st
r;1552835005711;done
q;1552835005732;-0.007909161,-0.034394745,-0.015222185,0.99926114
v;1552835005732;-0.016854558,-0.0685613,-0.029886499
r;1552835005734;85.27007,95.68437,93.29557
m;1552835005735;st
r;1552835005759;done
q;1552835005775;-0.001099239,-0.036615897,-0.009415691,0.99928445
v;1552835005775;-0.0028864366,-0.07322442,-0.018738579
r;1552835005780;84.535934,95.87985,94.009834
m;1552835005781;st
r;1552835005793;done
q;1552835005822;-0.012907265,-0.035386503,-0.017398195,0.9991389
v;1552835005822;-0.02702691,-0.07034661,-0.033871785
r;1552835005824;85.822,95.83699,93.00792
m;1552835005825;st
r;1552835005843;alive 1
r;1552835005859;done
q;1552835005884;-0.0030720066,-0.036454484,-0.0129614435,0.99924654
v;1552835005884;-0.007084449,-0.07284062,-0.025682844
r;1552835005892;84.732155,95.879295,93.58943
m;1552835005895;st
r;1552835005929;done
q;1552835005948;-0.0019710667,-0.04732247,-0.0043410333,0.99886835
v;1552835005948;-0.0043485425,-0.09466292,-0.008485871
r;1552835005951;84.67272,97.11076,94.58142
m;1552835005952;st
r;1552835005963;done
q;1552835005996;-0.006784319,-0.052566186,-0.0065731294,0.99857277
v;1552835005996;-0.014240802,-0.10509713,-0.012415822
r;1552835005999;85.19646,97.7563,94.27992
m;1552835006000;st
r;1552835006028;done
q;1552835006043;-0.0057541025,-0.06153516,-0.0033307716,0.99808276
v;1552835006043;-0.01189634,-0.12311551,-0.005941068
r;1552835006045;85.10819,98.7728,94.65439
m;1552835006047;st
r;1552835006079;done
q;1552835006091;-0.0016306967,-0.06950054,-8.218488E-4,0.99758023
v;1552835006091;-0.0033677456,-0.13911107,-0.00141306
r;1552835006098;84.6656,99.642265,94.98255
m;1552835006099;st
r;1552835006130;done
q;1552835006140;-0.003355896,-0.072946526,-0.0046650334,0.9973193
v;1552835006140;-0.0073744627,-0.14599267,-0.008815807
r;1552835006142;84.81309,100.05545,94.52356
m;1552835006143;st
r;1552835006178;done
q;1552835006187;-0.0046851877,-0.0784303,3.941285E-4,0.99690855
v;1552835006187;-0.009279718,-0.15703069,0.0015208076
r;1552835006189;85.02843,100.69505,95.08155
m;1552835006190;st
r;1552835006212;done
q;1552835006228;-0.0052338806,-0.08309095,-0.0023369843,0.99652547
